City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,34.65,90,93,37.11,TF,1720309975
1,college,64.8569,-147.8028,60.75,84,100,13.8,US,1720309976
2,inari,68.906,27.0288,55.96,78,99,11.3,FI,1720309977
3,hamilton,39.1834,-84.5333,83.03,58,71,8.01,US,1720309979
4,lautoka,-17.6167,177.4667,80.46,57,20,13.8,FJ,1720309980
5,thompson,55.7435,-97.8558,78.96,47,100,0.0,CA,1720309982
6,adamstown,-25.066,-130.1015,68.31,67,100,21.54,PN,1720309983
7,crane,31.3974,-102.3501,93.63,30,28,10.63,US,1720309985
8,port douglas,-16.4833,145.4667,74.23,78,85,17.52,AU,1720309986
9,east london,-33.0153,27.9116,59.18,31,75,10.47,ZA,1720309987
10,okahao,-17.885,15.0667,59.36,20,0,7.43,,1720309988
11,bredasdorp,-34.5322,20.0403,53.35,36,68,10.98,ZA,1720309989
12,longyearbyen,78.2186,15.6401,44.44,57,20,12.66,SJ,1720309991
13,boa vista,2.8197,-60.6733,82.38,78,75,3.44,BR,1720309992
14,port mathurin,-19.6833,63.4167,73.22,76,92,20.18,MU,1720309993
15,mejit,10.2753,170.8646,82.51,79,98,18.3,MH,1720309994
16,blackmans bay,-43.0167,147.3167,35.73,65,45,2.08,AU,1720309995
17,ihosy,-22.4,46.1167,53.24,69,0,3.24,MG,1720309997
18,papar,5.7333,115.9333,77.0,89,100,6.29,MY,1720309998
19,ribeira grande,38.5167,-28.7,70.77,82,5,3.0,PT,1720309999
20,keflavik,64.0049,-22.5624,55.31,54,0,19.57,IS,1720310000
21,richards bay,-28.783,32.0377,56.61,67,0,7.43,ZA,1720310001
22,labytnangi,66.6572,66.4183,56.1,77,38,2.15,RU,1720310003
23,port lincoln,-34.7333,135.8667,56.26,81,53,20.0,AU,1720310004
24,susuman,62.7833,148.1667,56.08,70,64,7.38,RU,1720310005
25,berezovyy,51.6667,135.7,57.42,94,100,6.15,RU,1720310006
26,papatowai,-46.5619,169.4708,48.88,79,89,21.03,NZ,1720310007
27,ilulissat,69.2167,-51.1,44.62,87,100,1.14,GL,1720310008
28,popondetta,-8.7537,148.2534,82.99,59,84,1.88,PG,1720310010
29,st. john's,47.5649,-52.7093,62.78,83,100,18.41,CA,1720309804
30,kapa'a,22.0752,-159.319,84.18,72,20,11.5,US,1720310012
31,egilsstadir,65.2653,-14.3948,40.91,87,100,10.36,IS,1720310013
32,ust-nera,64.5667,143.2,44.71,96,100,5.12,RU,1720310014
33,tiksi,71.6872,128.8694,40.98,79,68,7.23,RU,1720310016
34,punta arenas,-53.15,-70.9167,28.51,93,100,5.75,CL,1720310017
35,semnan,35.5729,53.3971,82.17,27,77,10.22,IR,1720310018
36,machina,13.1364,10.0492,82.18,63,68,17.76,NG,1720310019
37,puerto natales,-51.7236,-72.4875,24.31,90,98,2.33,CL,1720310020
38,yellowknife,62.456,-114.3525,68.52,49,75,12.66,CA,1720310021
39,jamestown,42.097,-79.2353,75.52,64,0,12.66,US,1720309760
40,edinburgh of the seven seas,-37.0676,-12.3116,50.18,76,100,26.93,SH,1720310024
41,la passe,45.5549,-0.8967,58.98,63,79,6.38,FR,1720310025
42,san borja,-14.8167,-66.85,71.53,68,6,4.34,BO,1720310026
43,bethel,41.3712,-73.414,82.89,84,75,10.36,US,1720310027
44,petropavlovsk-kamchatsky,53.0452,158.6483,61.39,77,75,2.24,RU,1720310028
